doctor_name,specialty,qualification,designation,hospital,location,experience,profile_url
Dr. Abu Talha Md. Mahi Uddin,Dentistry,"BDS, MS",Assistant Professor,MH Samorita Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-abu-talha-md-mahi-uddin-dentistry-dhaka
Dr. Abu Yousuf Md. Nazim Uddin,Hematology,"MBBS, FCPS, CCD",Registrar,North East Medical College Hospital,Sylhet,N/A,https://doctor.bd/doctor/dr-abu-yousuf-md-nazim-uddin-hematology-sylhet
Dr. Abu Zafor Md. Salahuddin,Nephrology,"MBBS, BCS, MD",Registrar,Mymensingh Medical College Hospital,Mymensingh,N/A,https://doctor.bd/doctor/dr-abu-zafor-md-salahuddin-nephrology-mymensingh
Dr. Abubakker Siddique,ENT,"MBBS, MS, CCD, FCPS",Medical Officer,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-abubakker-siddique-ent-dhaka
Dr. Abul Alam,Cardiology,"MBBS, D-CARD, CCD, CCE, CMU, PGC",Assistant Professor,Pabna Medical College Hospital,Pabna,N/A,https://doctor.bd/doctor/dr-abul-alam-cardiology-pabna
Dr. Abul Ata Md. Mozassem,Urology,"MBBS, MS, MCPS",Consultant,Chattogram Medical College Hospital,Chattogram,N/A,https://doctor.bd/doctor/dr-abul-ata-md-mozassem-urology-chattogram
Dr. Abul Bashar Biswas,Gastroenterology,"MBBS, BCS, MD, MACP",Consultant,"250 Bedded General Hospital, Khulna",Khulna,N/A,https://doctor.bd/doctor/dr-abul-bashar-biswas-gastroenterology-khulna
Dr. Abul Bashar Md. Monirul Islam,Dentistry,"BDS, MPH",Consultant,Sylhet Womens Medical College Hospital,Sylhet,N/A,https://doctor.bd/doctor/dr-abul-bashar-md-monirul-islam-dentistry-sylhet
Dr. Abul Faisal Md. Nuruddin Chowdhury,Medicine,"MBBS, BCS, FCPS",Consultant,Chattogram Medical College Hospital,Chattogram,N/A,https://doctor.bd/doctor/dr-abul-faisal-md-nuruddin-chowdhury-medicine-chattogram
Dr. Abul Hasan Muhammad Bashar,Vascular Surgery,"MBBS, BCS, PhD, FACS",Associate Professor,National Institute of Cardiovascular Disease (NICVD),Dhaka,N/A,https://doctor.bd/doctor/dr-abul-hasan-muhammad-bashar-vascular-surgery-dhaka
Dr. Abul Hasnat Russel,Neurology,"MBBS, BCS, MD",Registrar,Sir Salimullah Medical College Mitford Hospital,Narayanganj,N/A,https://doctor.bd/doctor/dr-abul-hasnat-russel-neurology-narayanganj
Dr. Abul Hayat Manik,Hepatology,"MBBS, BCS, MD, MRCPS",Liver Specialist,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-abul-hayat-manik-hepatology-dhaka
Dr. Abul Kalam Azad,Medicine,"MBBS, FCPS, FICM, FCCS",Consultant,Chattogram Medical College Hospital,Chattogram,N/A,https://doctor.bd/doctor/dr-abul-kalam-azad-medicine-chattogram
Dr. Abul Kalam Azad,Ophthalmology,"MBBS, MCPS, DO, FCPS",Senior Consultant,"General Hospital, Khulna",Khulna,N/A,https://doctor.bd/doctor/dr-abul-kalam-azad-ophthalmology-khulna
Dr. Abul Kalam Azad,Urology,"MBBS, BCS, MS",Assistant Professor,Khulna Medical College,Khulna,N/A,https://doctor.bd/doctor/dr-abul-kalam-azad-urology-khulna
Dr. Abul Kalam Bhuiyan (Masum),Medicine,"MBBS, BCS, MCPS, MACP, FCPS",Consultant,Mymensingh Medical College Hospital,Mymensingh,N/A,https://doctor.bd/doctor/dr-abul-kalam-bhuiyan-masum-medicine-mymensingh
Dr. Abuzaffor Md. Shaleh,General Surgery,"MBBS, BCS, MRCS, CCD, FCPS",Resident Surgeon,Cumilla Medical College Hospital,Cumilla,N/A,https://doctor.bd/doctor/dr-abuzaffor-md-shaleh-general-surgery-cumilla
Dr. AC Saha,Orthopedics,"MBBS, D-ORTHO, MS",Consultant,"City Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dr-ac-saha-orthopedics-dhaka
Dr. Achinta Kumar Mallick,Neurology,"MBBS, BCS, MD",Neuromedicine Specialist,Rajshahi Medical College Hospital,Rajshahi,N/A,https://doctor.bd/doctor/dr-achinta-kumar-mallick-neurology-rajshahi
Dr. Achira Bhattacharjee,Pediatrics,"MBBS, FCPS",Assistant Professor,Sylhet Womens Medical College Hospital,Sylhet,N/A,https://doctor.bd/doctor/dr-achira-bhattacharjee-pediatrics-sylhet
Dr. Adiba Chowdhury,General Surgery,"MBBS, MRCS",Registrar,"Ad-din Medical College & Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dr-adiba-chowdhury-general-surgery-dhaka
Dr. Adiba Malik,Gynaecology & Obstetrics,"MBBS, MS, DMU",Associate Professor,Chattogram Maa-O-Shishu Hospital Medical College,Chattogram,N/A,https://doctor.bd/doctor/dr-adiba-malik-gynaecology-obstetrics-chattogram
Dr. Aditi Paul Chowdhury,Oncology,"MBBS, MD",Consultant,Ahsania Mission Cancer and General Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-aditi-paul-chowdhury-oncology-dhaka
Dr. Adnan Jawad,ENT,"MBBS, MS",Consultant,Evercare Hospital Chattogram,Chattogram,8+ Years,https://doctor.bd/doctor/dr-adnan-jawad-ent-chattogram
Dr. Adnan Kaiser,Plastic Surgery,"MBBS, MS",Assistant Professor,Mymensingh Medical College Hospital,Mymensingh,N/A,https://doctor.bd/doctor/dr-adnan-kaiser-plastic-surgery-mymensingh
Dr. Afanur Rahman Adnan,Neurosurgery,"MBBS, MS",Registrar,National Institute of Neurosciences & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-afanur-rahman-adnan-neurosurgery-dhaka
Dr. AFM Azimus Sadat Sumon,Dermatology,"MBBS, DDV, CCD",Consultant,Mymensingh Medical College Hospital,Mymensingh,N/A,https://doctor.bd/doctor/dr-afm-azimus-sadat-sumon-dermatology-mymensingh
Dr. AFM Ekramuddaula,ENT,"MBBS, FCPS, MS",Senior Consultant,Evercare Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/dr-afm-ekramuddaula-ent-dhaka
Dr. AFM Helal Uddin,Medicine,"MBBS, BCS, MRCP, FACP, FRCP",Associate Professor,Sir Salimullah Medical College Mitford Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-afm-helal-uddin-medicine-dhaka
Dr. Afrin Sultana,General Surgery,"MBBS, FCPS, MRCS",Registrar,Holy Family Red Crescent Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-afrin-sultana-general-surgery-dhaka
Dr. Afroza Begum,Endocrinology,"MBBS, BCS, MD",Doctor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-afroza-begum-endocrinology-dhaka
Dr. Afroza Chowdhury,Gynaecology & Obstetrics,"MBBS, DGO, MCPS, FCPS",Professor,"Bangabandhu Memorial Hospital, USTC, Chattogram",Chattogram,N/A,https://doctor.bd/doctor/dr-afroza-chowdhury-gynaecology-obstetrics-chattogram
Dr. Afroza Ferdous,Gynaecology & Obstetrics,"MBBS, BCS, FCPS, MS",Associate Professor,Chattogram Medical College Hospital,Chattogram,N/A,https://doctor.bd/doctor/dr-afroza-ferdous-gynaecology-obstetrics-chattogram
Dr. Afroza Islam,General Surgery,"MBBS, BCS, FCPS",Assistant Professor,Mymensingh Medical College Hospital,Mymensingh,N/A,https://doctor.bd/doctor/dr-afroza-islam-general-surgery-mymensingh
Dr. Afroza Nazneen Asha,Plastic Surgery,"MBBS, FCPS",Professor & Head,Rajshahi Medical College Hospital,Rajshahi,N/A,https://doctor.bd/doctor/dr-afroza-nazneen-asha-plastic-surgery-rajshahi
Dr. Afroza Rashid Nipa,Dermatology,"MBBS, MPH, DDV",Associate Professor,Sylhet MAG Osmani Medical College Hospital,Sylhet,N/A,https://doctor.bd/doctor/dr-afroza-rashid-nipa-dermatology-sylhet
Dr. Afroza Sarkar Joly,Gynaecology & Obstetrics,"MBBS, BCS, DGO, FCPS",Assistant Professor,"Shaheed Ziaur Rahman Medical College Hospital, Bogura",Bogura,N/A,https://doctor.bd/doctor/dr-afroza-sarkar-joly-gynaecology-obstetrics-bogura
Dr. Afroza Sultana (Shanta),Gynaecology & Obstetrics,"MBBS, MCPS, DGO, FCPS",Senior Consultant,"Delta Health Care, Mirpur",Dhaka,N/A,https://doctor.bd/doctor/dr-afroza-sultana-shanta-gynaecology-obstetrics-dhaka
Dr. Afroza Suraya Majumder,ENT,"MBBS, DLO",Assistant Professor,Anwer Khan Modern Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-afroza-suraya-majumder-ent-dhaka
Dr. Afroza-E-Alam,General Surgery,"MBBS, BCS, FCPS",Consultant,Cumilla Medical College Hospital,Cumilla,N/A,https://doctor.bd/doctor/dr-afroza-e-alam-general-surgery-cumilla
Dr. Afsana Ferdous,Gynaecology & Obstetrics,"MBBS, DGO, CMU",Consultant,Gazi Medical College & Hospital,Khulna,N/A,https://doctor.bd/doctor/dr-afsana-ferdous-gynaecology-obstetrics-khulna
Dr. Afsana Haque Joty,Dentistry,BDS,Dentist,"Tech Dental, Mirpur Branch",Dhaka,4+ Years,https://doctor.bd/doctor/dr-afsana-haque-joty-dentistry-dhaka
Dr. Afsana Iqbal,Dentistry,"BDS, PGT",Consultant,Ibn Sina Diagnostic & Consultation Center,Dhaka,N/A,https://doctor.bd/doctor/dr-afsana-iqbal-dentistry-dhaka
Dr. Afsana Nahid,Dermatology,"MBBS, DDV, FCPS",Dermatologist,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-afsana-nahid-dermatology-dhaka
Dr. Afsana Rowshan,Gynaecology & Obstetrics,"MBBS, FCPS",Assistant Professor,Mymensingh Medical College Hospital,Mymensingh,N/A,https://doctor.bd/doctor/dr-afsana-rowshan-gynaecology-obstetrics-mymensingh
Dr. Afsana Zakira,Gynaecology & Obstetrics,"MBBS, BCS, MCPS, FCPS",Department of Obstetrics & Gynaecology,Sylhet MAG Osmani Medical College Hospital,Sylhet,10+ Years,https://doctor.bd/doctor/dr-afsana-zakira-gynaecology-obstetrics-sylhet
Dr. Afsar Ahmed,Endocrinology,"MBBS, BCS, MD, MACE",Assistant Professor,National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),Dhaka,N/A,https://doctor.bd/doctor/dr-afsar-ahmed-endocrinology-dhaka
Dr. Aftab Yusuf Raj,Pediatrics,"MBBS, MD, MPH",Senior Consultant,"Square Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dr-aftab-yusuf-raj-pediatrics-dhaka
Dr. Afzal Karim,ENT,"MBBS, MS",Assistant Professor,Sher-e-bangla Medical College Hospital,Barishal,N/A,https://doctor.bd/doctor/dr-afzal-karim-ent-barishal
Dr. AHM Ahsanul Hoque,Medicine,"MBBS, DTM&H",Consultant,Labaid Specialized hospital chattogram,Chattogram,N/A,https://doctor.bd/doctor/dr-ahm-ahsanul-hoque-medicine-chattogram
Dr. AHM Enayetur Rashul,Cardiology,"MBBS, BCS, MD",Consultant,National Institute of Cardiovascular Disease (NICVD),Pabna,N/A,https://doctor.bd/doctor/dr-ahm-enayetur-rashul-cardiology-pabna
Dr. Ahmad Abdullah Jami,ENT,"MBBS, BCS, DLO, FCPS, FICS",Assistant Professor,"Shaheed Ziaur Rahman Medical College Hospital, Bogura",Bogura,N/A,https://doctor.bd/doctor/dr-ahmad-abdullah-jami-ent-bogura
Dr. Ahmad Maksud Hasan Laskar,General Surgery,"MBBS, FCPS",Consultant,Ibn Sina Hospital Sylhet,Sylhet,N/A,https://doctor.bd/doctor/dr-ahmad-maksud-hasan-laskar-general-surgery-sylhet
Dr. Ahmad Monjurul Aziz,Medicine,"MBBS, FCPS, MACP",Assistant Professor,Dhaka Dental College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmad-monjurul-aziz-medicine-dhaka
Dr. Ahmad Mursel Anam,Medicine,"MBBS, MRCP, MRCPE",Consultant,"Square Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dr-ahmad-mursel-anam-medicine-dhaka
Dr. Ahmad Riad Chowdhury,Psychology,"MBBS, MPhil",Assistant Professor,Sylhet MAG Osmani Medical College Hospital,Sylhet,N/A,https://doctor.bd/doctor/dr-ahmad-riad-chowdhury-psychology-sylhet
Dr. Ahmad Seraji,Plastic Surgery,"MBBS, FCPS, MCPS, MS, MRCS",Professor & Head,Shaheed Suhrawardy Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmad-seraji-plastic-surgery-dhaka
Dr. Ahmad Zahid Al Quadir,Rheumatology,"MBBS, BCS, MD, ECRD",Medical Officer,Sylhet MAG Osmani Medical College Hospital,Sylhet,N/A,https://doctor.bd/doctor/dr-ahmad-zahid-al-quadir-rheumatology-sylhet
Dr. Ahmad Zainuddin Sani,Respiratory Medicine,"MBBS, BCS, MD",Professor & Head,Rajshahi Medical College Hospital,Rajshahi,N/A,https://doctor.bd/doctor/dr-ahmad-zainuddin-sani-respiratory-medicine-rajshahi
Dr. Ahmed Ashafuddowla,Neurology,"MBBS, MCPS, MD",Associate Professor,"Shaheed Ziaur Rahman Medical College Hospital, Bogura",Bogura,N/A,https://doctor.bd/doctor/dr-ahmed-ashafuddowla-neurology-bogura
Dr. Ahmed Asif Iqbal,Orthopedics,"MBBS, D-ORTHO",Surgeon,Rajshahi Medical College Hospital,Rajshahi,N/A,https://doctor.bd/doctor/dr-ahmed-asif-iqbal-orthopedics-rajshahi
Dr. Ahmed Faisal Abbas,Cardiology,"MBBS, BCS, FCPS",Medicine Specialist,"Chest Diseases Hospital, Brahmanbaria",Brahmanbaria,14+ Years,https://doctor.bd/doctor/dr-ahmed-faisal-abbas-cardiology-brahmanbaria
Dr. Ahmed Ifrad bin Rawnak,Endocrinology,"MBBS, BCS, MD, CCD, PGD",Consultant,"Labaid Diagnostic, Uttara (Unit 02)",Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-ifrad-bin-rawnak-endocrinology-dhaka
Dr. Ahmed Imtiaz,Dentistry,"MPhil, MPH, BDS, BCS",Assistant Professor,Dhaka Dental College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-imtiaz-dentistry-dhaka
Dr. Ahmed Jabeer,Oncology,"MBBS, BCS, MD",Consultant,Delta Health Care Mymensingh,Mymensingh,N/A,https://doctor.bd/doctor/dr-ahmed-jabeer-oncology-mymensingh
Dr. Ahmed Mamunul Haque,Cardiology,"MBBS, MD",Cardiologist,National Institute of Cardiovascular Disease (NICVD),Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-mamunul-haque-cardiology-dhaka
Dr. Ahmed Manadir Hossain,Cardiology,"MBBS, BCS, FCPS, D-CARD",Associate Professor,Bangabandhu Sheikh Mujib Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-manadir-hossain-cardiology-dhaka
Dr. Ahmed Mizanur Rahman,Oncology,"MBBS, FCPS, MS, FAMS",Assistant Professor,National Institute of Cancer Research and Hospital (NICR&H),Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-mizanur-rahman-oncology-dhaka
Dr. Ahmed Muhtasim Shihab,Dentistry,"BDS, MS, PGT",Resident,Chattogram Medical College Hospital,Chattogram,4+ Years,https://doctor.bd/doctor/dr-ahmed-muhtasim-shihab-dentistry-chattogram
Dr. Ahmed Nazmul Anam,Pediatrics,"MBBS, BCS, FCPS, MD, PGPN",Assistant Professor,"Institute of Child and Mother Health, Matuail",Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-nazmul-anam-pediatrics-dhaka
Dr. Ahmed Raquib,ENT,"MBBS, DLO, MS",Associate Professor,Popular Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-raquib-ent-dhaka
Dr. Ahmed Sami-Al-Hasan,General Surgery,"MBBS, BCS, FCPS, MRCS, MS",Assistant Professor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-sami-al-hasan-general-surgery-dhaka
Dr. Ahmed Sayeed,Pediatrics,"MBBS, DCH, FCPS",Consultant,"Square Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-sayeed-pediatrics-dhaka
Dr. Ahmed Shibli Muhiuddin,Dermatology,"MBBS, DDV",Consultant,Sylhet MAG Osmani Medical College Hospital,Sylhet,N/A,https://doctor.bd/doctor/dr-ahmed-shibli-muhiuddin-dermatology-sylhet
Dr. Ahmed Tanjimul Islam,Neurology,"MBBS, BCS, MSc, MD",Consultant,Chattogram 250 bed General Hospital,Chattogram,N/A,https://doctor.bd/doctor/dr-ahmed-tanjimul-islam-neurology-chattogram
Dr. Ahmed Tariq,ENT,"MBBS, BCS, FCPS, MS",Assistant Professor,Sir Salimullah Medical College Mitford Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-tariq-ent-dhaka
Dr. Ahmed Zahid Hossain,Pediatric Surgery,"MBBS, MPH, MS",Surgeon,Bangladesh Specialized Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-zahid-hossain-pediatric-surgery-dhaka
Dr. Ahmed Zahir Bin Zia,Ophthalmology,"MBBS, DO",Consultant,Ispahani Islamia Eye Institute & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmed-zahir-bin-zia-ophthalmology-dhaka
Dr. Ahmedul Kabir Chowdhury,Plastic Surgery,"MBBS, MS, FACS",Associate Professor,Shaheed Suhrawardy Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ahmedul-kabir-chowdhury-plastic-surgery-dhaka
Dr. Ahmod Nasim Hassan (Lavlu),General Surgery,"MBBS, BCS, FCPS",Assistant Professor,Sylhet MAG Osmani Medical College Hospital,Sylhet,N/A,https://doctor.bd/doctor/dr-ahmod-nasim-hassan-lavlu-general-surgery-sylhet
Dr. Ahsan Uddin Ahmed,Psychiatry,"MBBS, BCS, MCPS, FCPS",Associate Professor,National Institute of Mental Health (NIMH),Dhaka,N/A,https://doctor.bd/doctor/dr-ahsan-uddin-ahmed-psychiatry-dhaka
Dr. Ahsan Uddin Ahmed Chowdhury,Medicine,"MBBS, MSc, MCGP, MPH",Consultant,Long Life Diagnostic Centre,Dhaka,14+ Years,https://doctor.bd/doctor/dr-ahsan-uddin-ahmed-chowdhury-medicine-dhaka
Dr. Ahsan Uddin Mahmud,Cardiac Surgery,"MBBS, BCS, MS",Consultant,Chattogram Medical College Hospital,Chattogram,N/A,https://doctor.bd/doctor/dr-ahsan-uddin-mahmud-cardiac-surgery-chattogram
Dr. Ahsanuddin Ahmed Chowdhury,Dentistry,"BDS, MPH, DUH",Head of Department,"Islami Bank Hospital, Agrabad, Chattogram",Chattogram,N/A,https://doctor.bd/doctor/dr-ahsanuddin-ahmed-chowdhury-dentistry-chattogram
Dr. Ahsanul Habib Lalin,ENT,"MBBS, MS",Associate Professor,Rangpur Medical College Hospital,Rangpur,N/A,https://doctor.bd/doctor/dr-ahsanul-habib-lalin-ent-rangpur
Dr. Ahsanul Haq Amin,Endocrinology,"MBBS, MD, FACE",Senior Consultant,Evercare Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/dr-ahsanul-haq-amin-endocrinology-dhaka
Dr. Ahsanul Haque Kawsar,Medicine,"MBBS, FCPS",Associate Professor,"Mugda Medical College Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dr-ahsanul-haque-kawsar-medicine-dhaka
Dr. Ainul Islam Joarder,Orthopedics,"MBBS, D-ORTHO",Associate Professor,Kumudini Women's Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ainul-islam-joarder-orthopedics-dhaka
Dr. Ajay Barua,Homeopathy,"DHMS, BHB",Medical Officer,Ma-Moni Homeo Charity Medical Center,Chattogram,N/A,https://doctor.bd/doctor/dr-ajay-barua-homeopathy-chattogram
Dr. Ajay Kumar Ghosh,Dermatology,"MBBS, BCS, DDV",Consultant,"American Hospital, Chattogram",Chattogram,N/A,https://doctor.bd/doctor/dr-ajay-kumar-ghosh-dermatology-chattogram
Dr. Ajoy Das,Orthopedics,"MBBS, BCS, D-ORTHO",Senior Consultant,"General Hospital, Chattogram",Chattogram,N/A,https://doctor.bd/doctor/dr-ajoy-das-orthopedics-chattogram
Dr. Ajoy Kumar Agarwalla,Neurology,"MBBS, BCS, MD, MRCP",Consultant,Sir Salimullah Medical College Mitford Hospital,Narayanganj,N/A,https://doctor.bd/doctor/dr-ajoy-kumar-agarwalla-neurology-narayanganj
Dr. Ajoy Kumar Dutta,Cardiology,"MBBS, MD",Chief Consultant,Al Haramain Hospital Private,Sylhet,N/A,https://doctor.bd/doctor/dr-ajoy-kumar-dutta-cardiology-sylhet
Dr. Ajoy Kumar Sarker,General Surgery,"MBBS, BCS, FCPS",Associate Professor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-ajoy-kumar-sarker-general-surgery-dhaka
Dr. Ajoy Kumer Chowdhury,Homeopathy,DHMS,Doctor,Hahnemann Homeo Mission,Chattogram,N/A,https://doctor.bd/doctor/dr-ajoy-kumer-chowdhury-homeopathy-chattogram
Dr. AK Azad,Physical Medicine & Rehabilitation,"MBBS, FCPS",Physical Medicine Specialist,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/dr-ak-azad-physical-medicine-rehabilitation-dhaka
Dr. Akhil Ranjon Biswas,Hematology,"MBBS, FCPS",Professor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akhil-ranjon-biswas-hematology-dhaka
Dr. Akhlaq Ahmed,Pediatrics,"MBBS, BCS, DCH, MD",Associate Professor,Sylhet MAG Osmani Medical College Hospital,Sylhet,N/A,https://doctor.bd/doctor/dr-akhlaq-ahmed-pediatrics-sylhet
Dr. Akhtaruzzaman Razu,Cardiology,"MBBS, BCS, FCPS, MD, FRCP, MACP",Assistant Professor,National Institute of Cardiovascular Disease (NICVD),Bogura,N/A,https://doctor.bd/doctor/dr-akhtaruzzaman-razu-cardiology-bogura
Dr. Akhter Ahmed (Shuvo),Hepatobiliary Surgery,"MBBS, MS, FCPS, FACS",Associate Professor,Shaheed Suhrawardy Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akhter-ahmed-shuvo-hepatobiliary-surgery-dhaka
Dr. Akhter Hamid Parvez,Cardiac Surgery,"MBBS, MS",Junior Consultant,"Labaid Specialized Hospital, Dhanmondi",Dhaka,N/A,https://doctor.bd/doctor/dr-akhter-hamid-parvez-cardiac-surgery-dhaka
Dr. Akhterul Alam Azad,Dermatology,"MBBS, BCS, DDV, CCD",Professor & Head,TMSS Medical College & Hospital,Pabna,N/A,https://doctor.bd/doctor/dr-akhterul-alam-azad-dermatology-pabna
Dr. Aklima Parvin Faizi,Colorectal Surgery,"MBBS, BCS, MS",Assistant Professor,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/dr-aklima-parvin-faizi-colorectal-surgery-dhaka
Dr. AKM Abu Mottaleb,Nephrology,"MBBS, MSc",Consultant,"Square Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dr-akm-abu-mottaleb-nephrology-dhaka
Dr. AKM Aminul Islam,Endocrinology,"MBBS, MD",Associate Professor,Sir Salimullah Medical College Mitford Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-aminul-islam-endocrinology-dhaka
Dr. AKM Asaduzzaman,Pediatrics,"MBBS, MCPS, MMEd",Assistant Professor,Khulna City Medical College Hospital,Khulna,N/A,https://doctor.bd/doctor/dr-akm-asaduzzaman-pediatrics-khulna
Dr. AKM Azad Hossain,Cardiology,"MBBS, BCS, MD",Cardiologist,Shaheed Tajuddin Ahmad Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-azad-hossain-cardiology-dhaka
Dr. AKM Fazlul Haque,Plastic Surgery,"MBBS, FRCS",Senior Consultant,Evercare Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-fazlul-haque-plastic-surgery-dhaka
Dr. AKM Humayun Kabir,Medicine,"MBBS, MCPS, FCPS",Associate Professor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-humayun-kabir-medicine-dhaka
Dr. AKM Khairul Anam Chowdhury,Pediatrics,"MBBS, MCPS, DCH",Consultant,Delta Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-khairul-anam-chowdhury-pediatrics-dhaka
Dr. AKM Mamun Murshed,ENT,"MBBS, PGDND, DLO",Doctor,Shaheed Suhrawardy Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-mamun-murshed-ent-dhaka
Dr. AKM Mamunur Rashid,Pediatrics,"MBBS, DCH, MD, FRCP",Professor & Head,Khulna Medical College Hospital,Khulna,N/A,https://doctor.bd/doctor/dr-akm-mamunur-rashid-pediatrics-khulna
Dr. AKM Minhaj Uddin Bhuiyan,Oncology,"MBBS, FCPS, MRCS, MS",Associate Professor,National Institute of Cancer Research and Hospital (NICR&H),Dhaka,N/A,https://doctor.bd/doctor/dr-akm-minhaj-uddin-bhuiyan-oncology-dhaka
Dr. AKM Mohiuddin Bhuiyan Masum,Cardiology,"MBBS, MD",Associate Professor,Ibn Sina Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-mohiuddin-bhuiyan-masum-cardiology-dhaka
Dr. AKM Monwarul Islam,Medicine,"MBBS, FCPS, MD",Doctor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-monwarul-islam-medicine-dhaka
Dr. AKM Nazmus Saquib,Ophthalmology,"MBBS, PhD, D-OPHTH, FRSH, MAMS",Senior Consultant,National Institute of Ophthalmology & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-nazmus-saquib-ophthalmology-dhaka
Dr. AKM Rafiqul Bari,Respiratory Medicine,"MBBS, MD, FCCP",Professor,National Institute of Diseases of the Chest & Hospital (NIDCH),Dhaka,N/A,https://doctor.bd/doctor/dr-akm-rafiqul-bari-respiratory-medicine-dhaka
Dr. AKM Ruhul Amin,General Surgery,"MBBS, MS",Surgeon,Dr. Sirajul Islam Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-ruhul-amin-general-surgery-dhaka
Dr. AKM Sahid Ullah,Homeopathy,"BA, DHMS, MD",Medicine Specialist,Bangladesh Homeopathic Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-akm-sahid-ullah-homeopathy-dhaka
Dr. AKM Sajedur Rahman,Medicine,"MBBS, BCS, MD",Assistant Professor,Cumilla Medical College Hospital,Cumilla,N/A,https://doctor.bd/doctor/dr-akm-sajedur-rahman-medicine-cumilla
Dr. AKM Serajul Alam Rakib,Dentistry,"BDS, BCS, MS",Professor & Head,Pabna Medical College Hospital,Pabna,N/A,https://doctor.bd/doctor/dr-akm-serajul-alam-rakib-dentistry-pabna
Dr. AKM Zayedul Haque,Dermatology,"MBBS, MD, CCD",Assistant Professor,"Sheikh Hasina Medical College Hospital, Tangail",Tangail,N/A,https://doctor.bd/doctor/dr-akm-zayedul-haque-dermatology-tangail
Dr. AKM Ziaul Huque,Vascular Surgery,"MBBS, BCS, MS",Consultant,National Institute of Cardiovascular Disease (NICVD),Dhaka,N/A,https://doctor.bd/doctor/dr-akm-ziaul-huque-vascular-surgery-dhaka
Dr. AKS Zahid Mahmud Khan,Cardiology,"MBBS, MD, MRCPS, FSCAI",Assistant Professor,National Institute of Cardiovascular Disease (NICVD),Dhaka,N/A,https://doctor.bd/doctor/dr-aks-zahid-mahmud-khan-cardiology-dhaka
