doctor_name,specialty,qualification,designation,hospital,location,experience,profile_url
Assoc. Prof. Dr. Rowshan Ara,Gynaecology & Obstetrics,"MBBS, FCPS",Associate Professor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/assoc-prof-dr-rowshan-ara-gynaecology-obstetrics-dhaka
Assoc. Prof. Dr. Rowshan Ara,Reproductive Medicine,"MBBS, FCPS",Associate Professor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/assoc-prof-dr-rowshan-ara-reproductive-medicine-dhaka
"Assoc. Prof. Dr. S.M. Mustofa Kamal, PT",Physiotherapy,"MPH, BPT, MDMR",Associate Professor,Enam Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/assoc-prof-dr-sm-mustofa-kamal-pt-physiotherapy-dhaka
Assoc. Prof. Dr. Suhel Reza,Urology,"MBBS, MS, FCPS",Associate Professor,National Institute of Kidney Disease and Urology (NIKDU),Dhaka,N/A,https://doctor.bd/doctor/assoc-prof-dr-suhel-reza-urology-dhaka
Assoc. Prof. Dr. T.C. Saha,Physical Medicine & Rehabilitation,"MBBS, BCS, MD",Associate Professor,"Mugda Medical College Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/assoc-prof-dr-tc-saha-physical-medicine-rehabilitation-dhaka
Assoc. Prof. Dr. Tarafdar Runa Laila,Gynaecology & Obstetrics,"MBBS, MS, FCPS",Associate Professor,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/assoc-prof-dr-tarafdar-runa-laila-gynaecology-obstetrics-dhaka
Asst. Prof Dr. Abdul Mahin Tazbir,Rheumatology,"MBBS, MD, ECRD",Assistant Professor,Enam Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-abdul-mahin-tazbir-rheumatology-dhaka
Asst. Prof. Dr. Ankur Datta,Medicine,"MBBS, MPH, MACP, CCD, EDC, FMD",Assistant Professor,Eastern Medical College Hospital,Cumilla,N/A,https://doctor.bd/doctor/asst-prof-dr-ankur-datta-medicine-cumilla
Asst. Prof. Dr. Basudeb Chandra Pal,Psychiatry,"MBBS, MD",Assistant Professor,Khulna City Medical College Hospital,Khulna,N/A,https://doctor.bd/doctor/asst-prof-dr-basudeb-chandra-pal-psychiatry-khulna
Asst. Prof. Dr. Bijoy Kumar Dutta,Psychiatry,"MBBS, BCS, MD",Assistant Professor,Cumilla Medical College Hospital,Cumilla,N/A,https://doctor.bd/doctor/asst-prof-dr-bijoy-kumar-dutta-psychiatry-cumilla-2
Asst. Prof. Dr. Bijoy Kumar Dutta,Psychiatry,"MBBS, BCS, MD",Assistant Professor,Cumilla Medical College Hospital,Cumilla,N/A,https://doctor.bd/doctor/asst-prof-dr-bijoy-kumar-dutta-psychiatry-cumilla
Asst. Prof. Dr. Dulal Chandra Das,Hepatology,"MBBS, MD",Assistant Professor,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-dulal-chandra-das-hepatology-dhaka
Asst. Prof. Dr. Farhana Salam,Colorectal Surgery,"MBBS, BCS, MS, FCPS",Assistant Professor,Shaheed Suhrawardy Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-farhana-salam-colorectal-surgery-dhaka
Asst. Prof. Dr. Farida Yasmin SHUMI,Gynaecology & Obstetrics,"MBBS, DGO, MS, MSc",Assistant Professor,Chattogram Medical College Hospital,Chattogram,N/A,https://doctor.bd/doctor/asst-prof-dr-farida-yasmin-shumi-gynaecology-obstetrics-chattogram
Asst. Prof. Dr. Iftekhar Alam,Cardiology,"MBBS, MD, CCD",Assistant Professor,National Institute of Cardiovascular Disease (NICVD),Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-iftekhar-alam-cardiology-dhaka
Asst. Prof. Dr. Kamalesh Chandra Basu,Endocrinology,"MBBS, BCS, MD, MCPS, FCPS",Assistant Professor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-kamalesh-chandra-basu-endocrinology-dhaka
Asst. Prof. Dr. Md. Forhad Abedin,Hepatology,"MBBS, BCS, FRCP, FCPS, MD",Assistant Professor,Cumilla Medical College Hospital,Cumilla,N/A,https://doctor.bd/doctor/asst-prof-dr-md-forhad-abedin-hepatology-cumilla
Asst. Prof. Dr. Md. Masum Uddin,Physical Medicine & Rehabilitation,"MBBS, BCS, MACP, FCPS",Assistant Professor,National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),Dhaka,15+ Years,https://doctor.bd/doctor/asst-prof-dr-md-masum-uddin-physical-medicine-rehabilitation-dhaka
Asst. Prof. Dr. Md. Mofazzal Hossen (Murad),Rheumatology,"MBBS, BCS, MD",Assistant Professor,Rangpur Medical College Hospital,Rangpur,N/A,https://doctor.bd/doctor/asst-prof-dr-md-mofazzal-hossen-murad-rheumatology-rangpur
Asst. Prof. Dr. Md. Nowshad Ullah Nahid,Vascular Surgery,"MBBS, MS",Assistant Professor,Eastern Medical College Hospital,Cumilla,10+ Years,https://doctor.bd/doctor/asst-prof-dr-md-nowshad-ullah-nahid-vascular-surgery-cumilla
Asst. Prof. Dr. Md. Tousifur Rahman,Oncology,"MBBS, MD",Assistant Professor,"TMSS Cancer Centre, Bogura",Bogura,N/A,https://doctor.bd/doctor/asst-prof-dr-md-tousifur-rahman-oncology-bogura
Asst. Prof. Dr. Mohammad Abdus Salam,Urology,"MBBS, MS",Assistant Professor,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-mohammad-abdus-salam-urology-dhaka
Asst. Prof. Dr. Mohammad Toufiq Hasan,Respiratory Medicine,"MBBS, BCS, MD",Professor & Head,Sir Salimullah Medical College Mitford Hospital,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-mohammad-toufiq-hasan-respiratory-medicine-dhaka
Asst. Prof. Dr. Nafiuzzaman,Physical Medicine & Rehabilitation,"MBBS, ECRD, FCPS",Assistant Professor,President Abdul Hamid Medical College & Hospital,Narayanganj,N/A,https://doctor.bd/doctor/asst-prof-dr-nafiuzzaman-physical-medicine-rehabilitation-narayanganj
Asst. Prof. Dr. Najmul Haque,Pediatrics,"MBBS, BCS, FCPS, MD",Assistant Professor,National Institute of Neurosciences & Hospital,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-najmul-haque-pediatrics-dhaka
Asst. Prof. Dr. Purobi Das Bakshi,Gynaecology & Obstetrics,"MBBS, BCS, MS",Assistant Professor,Khulna Medical College Hospital,Khulna,12+ Years,https://doctor.bd/doctor/asst-prof-dr-purobi-das-bakshi-gynaecology-obstetrics-khulna
Asst. Prof. Dr. Sharmin Akter Liza,Gynaecology & Obstetrics,"MBBS, FCPS",Assistant Professor,"Institute of Child and Mother Health, Matuail",Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-sharmin-akter-liza-gynaecology-obstetrics-dhaka
Asst. Prof. Dr. Sharmin Begum,Dermatology,"MBBS, MCPS, FCPS",Assistant Professor,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-sharmin-begum-dermatology-dhaka
Asst. Prof. Dr. SMA Alim,Anesthesiology,"MBBS, MD, EDPM, FIPM, GOPF",Assistant Professor,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-sma-alim-anesthesiology-dhaka
Asst. Prof. Dr. Subrata Roy,General Surgery,"MBBS, MS, FCPS",Assistant Professor,Dinajpur Medical College Hospital,Dinajpur,N/A,https://doctor.bd/doctor/asst-prof-dr-subrata-roy-general-surgery-dinajpur
Asst. Prof. Dr. Suman Dey,Gastroenterology,"MBBS, BCS, MRCPS, MCPS, MD, CCD, FCPS",Assistant Professor,Bangladesh Medical University,Cumilla,13+ Years,https://doctor.bd/doctor/asst-prof-dr-suman-dey-gastroenterology-cumilla
Asst. Prof. Dr. Sunjida Islam,Endocrinology,"MBBS, DEM",Professor & Head,Eastern Medical College Hospital,Cumilla,10+ Years,https://doctor.bd/doctor/asst-prof-dr-sunjida-islam-endocrinology-cumilla
Asst. prof. Dr. Ujjal Mitra,Pediatrics,"MBBS, BCS, FCPS, MD",Assistant Professor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/asst-prof-dr-ujjal-mitra-pediatrics-dhaka
Brig Gen. Prof. Dr. Md. Maqsudur Rasul,Medicine,"MBBS, MCPS, FCPS",Professor,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-md-maqsudur-rasul-medicine-dhaka
Brig. Gen. (Retd) Prof. Dr. Md. Sayedur Rahman,Ophthalmology,"MBBS, DO, FCPS, MCPS, FICO",Senior Consultant,Evercare Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-retd-prof-dr-md-sayedur-rahman-ophthalmology-dhaka
Brig. Gen. Dr. Golam Mohiuddin Chowdhury,Dentistry,"BDS, PGC, FCPS",Consultant,Evercare Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-dr-golam-mohiuddin-chowdhury-dentistry-dhaka
